data,ora,canale,formato,titolo,testo,hashtag,board,asset,link,stato,approva_umano
2026-07-07,10:00,Pinterest,Pin,Budget mensile facile: il metodo in 5 minuti,"Stanco di non sapere dove vanno i soldi? Questo tracker spese calcola tutto da solo. Download digitale, personalizzabile. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #finanzepersonali #budget #excel",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-04.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-07,10:00,TikTok,Reel,"Nessuno te lo dice, ma ti basta UN file per gestire i soldi.","Nessuno te lo dice, ma ti basta UN file per gestire i soldi.

Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Salva questo post e provalo questo mese. 💸
Link in bio 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING",#budget #risparmio #finanzepersonali #soldi #foryou #excel #budgetingtips,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-08,10:00,Pinterest,Pin,"Organizza le tue finanze in italiano, finalmente",Il metodo semplice per gestire budget planner e risparmiare ogni mese senza app a pagamento. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #risparmiosoldi #budgetmensile #planner,#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-05.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-09,10:00,Email,Newsletter,Il trucco da 5 minuti per risparmiare di più,Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Scopri Smart Budget Tracker: https://www.etsy.com/it/listing/IL-TUO-LISTING,,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-09,10:00,Instagram,Reel,Ho provato 4 app di budget. Questo foglio le batte tutte.,"Ho provato 4 app di budget. Questo foglio le batte tutte.

Niente app, niente abbonamenti: solo un foglio che lavora per te.
Lo trovi su Etsy, link in bio. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budgetplanner #risparmio #finanzepersonali #budgetmensile #excel #gestionespese #risparmiosoldi #etsyitalia #pianificazione #soldi,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-09,10:00,Instagram,Story,Story: sondaggio/teaser,POV: apri il tuo budget e sai esattamente quanto puoi spendere oggi. (sticker domanda + link allo shop),,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-09,10:00,Pinterest,Pin,Il foglio Excel che ti fa risparmiare davvero,"Prendi il controllo del tuo budget planner con Smart Budget Tracker: dashboard automatica, budget vs speso e obiettivi di risparmio. Excel e Google Sheets, in italiano. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #budgetplanner #budgetplanner #risparmio",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-00.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-10,10:00,Pinterest,Pin,Pianifica spese e risparmi come un pro,"Stanco di non sapere dove vanno i soldi? Questo tracker spese calcola tutto da solo. Download digitale, personalizzabile. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #finanzepersonali #budget #excel",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-01.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-10,10:00,TikTok,Reel,"Se a fine mese non sai dove sono finiti i soldi, guarda qui.","Se a fine mese non sai dove sono finiti i soldi, guarda qui.

Commenta ""BUDGET"" e ti mando il link. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budget #risparmio #finanzepersonali #soldi #foryou #excel #budgetingtips,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-13,10:00,Instagram,Story,Story: sondaggio/teaser,Ho smesso di stressarmi per i soldi con un solo foglio. (sticker domanda + link allo shop),,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-13,10:00,Pinterest,Pin,Come tenere i soldi sotto controllo (senza app),Il metodo semplice per gestire budget planner e risparmiare ogni mese senza app a pagamento. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #risparmiosoldi #budgetmensile #planner,#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-02.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-14,10:00,Instagram,Reel,Il trucco delle persone che risparmiano davvero (e non è guadagnare di più).,"Il trucco delle persone che risparmiano davvero (e non è guadagnare di più).

Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Salva questo post e provalo questo mese. 💸
Link in bio 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING",#budgetplanner #risparmio #finanzepersonali #budgetmensile #excel #gestionespese #risparmiosoldi #etsyitalia #pianificazione #soldi,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-14,10:00,Pinterest,Pin,Il budget planner che si compila da solo,"Prendi il controllo del tuo budget planner con Smart Budget Tracker: dashboard automatica, budget vs speso e obiettivi di risparmio. Excel e Google Sheets, in italiano. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #budgetplanner #budgetplanner #risparmio",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-03.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-14,10:00,TikTok,Reel,POV: apri il tuo budget e sai esattamente quanto puoi spendere oggi.,"POV: apri il tuo budget e sai esattamente quanto puoi spendere oggi.

Niente app, niente abbonamenti: solo un foglio che lavora per te.
Lo trovi su Etsy, link in bio. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budget #risparmio #finanzepersonali #soldi #foryou #excel #budgetingtips,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-15,—,Etsy Ads,Paid (proposta),Test ads su keyword principali,"Budget test 3-5€/giorno per 7-14 giorni su: budget planner, tracker spese, finanze personali, risparmio soldi. Attivare SOLO dopo prime vendite organiche.",,,mockup-prompts/08-ads-creative,https://www.etsy.com/it/listing/IL-TUO-LISTING,PROPOSTA,SI
2026-07-15,10:00,Pinterest,Pin,Risparmia di più ogni mese con 1 foglio Excel,"Stanco di non sapere dove vanno i soldi? Questo tracker spese calcola tutto da solo. Download digitale, personalizzabile. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #finanzepersonali #budget #excel",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-04.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-16,10:00,Email,Newsletter,3 errori che ti impediscono di mettere da parte soldi,Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Scopri Smart Budget Tracker: https://www.etsy.com/it/listing/IL-TUO-LISTING,,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-16,10:00,Instagram,Reel,Ho smesso di stressarmi per i soldi con un solo foglio.,"Ho smesso di stressarmi per i soldi con un solo foglio.

Commenta ""BUDGET"" e ti mando il link. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budgetplanner #risparmio #finanzepersonali #budgetmensile #excel #gestionespese #risparmiosoldi #etsyitalia #pianificazione #soldi,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-16,10:00,Instagram,Story,Story: sondaggio/teaser,"Nessuno te lo dice, ma ti basta UN file per gestire i soldi. (sticker domanda + link allo shop)",,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-16,10:00,Pinterest,Pin,Smetti di chiederti dove finiscono i soldi,Il metodo semplice per gestire budget planner e risparmiare ogni mese senza app a pagamento. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #risparmiosoldi #budgetmensile #planner,#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-05.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-17,10:00,Pinterest,Pin,Budget mensile facile: il metodo in 5 minuti,"Prendi il controllo del tuo budget planner con Smart Budget Tracker: dashboard automatica, budget vs speso e obiettivi di risparmio. Excel e Google Sheets, in italiano. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #budgetplanner #budgetplanner #risparmio",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-00.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-17,10:00,TikTok,Reel,Il motivo per cui non riesci a risparmiare non è lo stipendio.,"Il motivo per cui non riesci a risparmiare non è lo stipendio.

Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Salva questo post e provalo questo mese. 💸
Link in bio 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING",#budget #risparmio #finanzepersonali #soldi #foryou #excel #budgetingtips,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-20,10:00,Instagram,Story,Story: sondaggio/teaser,Ho provato 4 app di budget. Questo foglio le batte tutte. (sticker domanda + link allo shop),,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-20,10:00,Pinterest,Pin,"Organizza le tue finanze in italiano, finalmente","Stanco di non sapere dove vanno i soldi? Questo tracker spese calcola tutto da solo. Download digitale, personalizzabile. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #finanzepersonali #budget #excel",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-01.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-21,10:00,Instagram,Reel,Da caos a controllo totale in 5 minuti al mese.,"Da caos a controllo totale in 5 minuti al mese.

Niente app, niente abbonamenti: solo un foglio che lavora per te.
Lo trovi su Etsy, link in bio. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budgetplanner #risparmio #finanzepersonali #budgetmensile #excel #gestionespese #risparmiosoldi #etsyitalia #pianificazione #soldi,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-21,10:00,Pinterest,Pin,Il foglio Excel che ti fa risparmiare davvero,Il metodo semplice per gestire budget planner e risparmiare ogni mese senza app a pagamento. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #risparmiosoldi #budgetmensile #planner,#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-02.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-21,10:00,TikTok,Reel,"Nessuno te lo dice, ma ti basta UN file per gestire i soldi.","Nessuno te lo dice, ma ti basta UN file per gestire i soldi.

Commenta ""BUDGET"" e ti mando il link. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budget #risparmio #finanzepersonali #soldi #foryou #excel #budgetingtips,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-22,10:00,Pinterest,Pin,Pianifica spese e risparmi come un pro,"Prendi il controllo del tuo budget planner con Smart Budget Tracker: dashboard automatica, budget vs speso e obiettivi di risparmio. Excel e Google Sheets, in italiano. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #budgetplanner #budgetplanner #risparmio",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-03.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-23,10:00,Email,Newsletter,"Il tuo budget, finalmente in italiano",Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Scopri Smart Budget Tracker: https://www.etsy.com/it/listing/IL-TUO-LISTING,,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-23,10:00,Instagram,Reel,Ho provato 4 app di budget. Questo foglio le batte tutte.,"Ho provato 4 app di budget. Questo foglio le batte tutte.

Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Salva questo post e provalo questo mese. 💸
Link in bio 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING",#budgetplanner #risparmio #finanzepersonali #budgetmensile #excel #gestionespese #risparmiosoldi #etsyitalia #pianificazione #soldi,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-23,10:00,Instagram,Story,Story: sondaggio/teaser,POV: apri il tuo budget e sai esattamente quanto puoi spendere oggi. (sticker domanda + link allo shop),,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-23,10:00,Pinterest,Pin,Come tenere i soldi sotto controllo (senza app),"Stanco di non sapere dove vanno i soldi? Questo tracker spese calcola tutto da solo. Download digitale, personalizzabile. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #finanzepersonali #budget #excel",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-04.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-24,10:00,Pinterest,Pin,Il budget planner che si compila da solo,Il metodo semplice per gestire budget planner e risparmiare ogni mese senza app a pagamento. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #risparmiosoldi #budgetmensile #planner,#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-05.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-24,10:00,TikTok,Reel,"Se a fine mese non sai dove sono finiti i soldi, guarda qui.","Se a fine mese non sai dove sono finiti i soldi, guarda qui.

Niente app, niente abbonamenti: solo un foglio che lavora per te.
Lo trovi su Etsy, link in bio. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budget #risparmio #finanzepersonali #soldi #foryou #excel #budgetingtips,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-27,10:00,Instagram,Story,Story: sondaggio/teaser,Ho smesso di stressarmi per i soldi con un solo foglio. (sticker domanda + link allo shop),,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-27,10:00,Pinterest,Pin,Risparmia di più ogni mese con 1 foglio Excel,"Prendi il controllo del tuo budget planner con Smart Budget Tracker: dashboard automatica, budget vs speso e obiettivi di risparmio. Excel e Google Sheets, in italiano. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #budgetplanner #budgetplanner #risparmio",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-00.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-28,10:00,Instagram,Reel,Il trucco delle persone che risparmiano davvero (e non è guadagnare di più).,"Il trucco delle persone che risparmiano davvero (e non è guadagnare di più).

Commenta ""BUDGET"" e ti mando il link. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budgetplanner #risparmio #finanzepersonali #budgetmensile #excel #gestionespese #risparmiosoldi #etsyitalia #pianificazione #soldi,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-28,10:00,Pinterest,Pin,Smetti di chiederti dove finiscono i soldi,"Stanco di non sapere dove vanno i soldi? Questo tracker spese calcola tutto da solo. Download digitale, personalizzabile. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #finanzepersonali #budget #excel",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-01.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-28,10:00,TikTok,Reel,POV: apri il tuo budget e sai esattamente quanto puoi spendere oggi.,"POV: apri il tuo budget e sai esattamente quanto puoi spendere oggi.

Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Salva questo post e provalo questo mese. 💸
Link in bio 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING",#budget #risparmio #finanzepersonali #soldi #foryou #excel #budgetingtips,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-29,10:00,Pinterest,Pin,Budget mensile facile: il metodo in 5 minuti,Il metodo semplice per gestire budget planner e risparmiare ogni mese senza app a pagamento. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #risparmiosoldi #budgetmensile #planner,#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-02.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-30,10:00,Email,Newsletter,Dove sono finiti i soldi questo mese?,Tieni i tuoi soldi sotto controllo in 5 minuti al mese. Scopri Smart Budget Tracker: https://www.etsy.com/it/listing/IL-TUO-LISTING,,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-30,10:00,Instagram,Reel,Ho smesso di stressarmi per i soldi con un solo foglio.,"Ho smesso di stressarmi per i soldi con un solo foglio.

Niente app, niente abbonamenti: solo un foglio che lavora per te.
Lo trovi su Etsy, link in bio. Tieni i tuoi soldi sotto controllo in 5 minuti al mese.",#budgetplanner #risparmio #finanzepersonali #budgetmensile #excel #gestionespese #risparmiosoldi #etsyitalia #pianificazione #soldi,,reels-scripts.md,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-30,10:00,Instagram,Story,Story: sondaggio/teaser,"Nessuno te lo dice, ma ti basta UN file per gestire i soldi. (sticker domanda + link allo shop)",,,,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
2026-07-30,10:00,Pinterest,Pin,"Organizza le tue finanze in italiano, finalmente","Prendi il controllo del tuo budget planner con Smart Budget Tracker: dashboard automatica, budget vs speso e obiettivi di risparmio. Excel e Google Sheets, in italiano. 👉 https://www.etsy.com/it/listing/IL-TUO-LISTING #budgetplanner #budgetplanner #risparmio",#budgetplanner #risparmio #finanzepersonali,Budget & Risparmio,pins/pin-03.png,https://www.etsy.com/it/listing/IL-TUO-LISTING,DRAFT,NO
